VendorID;lpep_pickup_datetime;lpep_dropoff_datetime;store_and_fwd_flag;RatecodeID;PULocationID;DOLocationID;passenger_count;trip_distance;fare_amount;extra;mta_tax;tip_amount;tolls_amount;ehail_fee;improvement_surcharge;total_amount;payment_type;trip_type;congestion_surcharge
2;2020-05-01 07:01:00;2020-05-01 07:27:00;;;3;137;;14.42;39.13;0.0;0.0;0.0;6.12;;0.3;48.3;;;
2;2020-05-01 07:02:00;2020-05-01 07:27:00;;;188;29;;6.64;21.58;0.0;0.0;0.0;0.0;;0.3;21.88;;;
2;2020-05-01 07:02:00;2020-05-01 07:10:00;;;7;82;;1.63;8.11;0.0;0.0;0.0;0.0;;0.3;8.41;;;
2;2020-05-01 07:03:00;2020-05-01 07:23:00;;;95;42;;10.81;31.1;0.0;0.0;0.0;6.12;;0.3;37.52;;;
1;2020-05-01 07:03:25;2020-05-01 07:07:55;N;1.0;116;247;1.0;0.0;12.2;0.0;0.5;0.0;0.0;;0.3;13.0;1.0;1.0;0.0
2;2020-05-01 07:04:00;2020-05-01 07:35:00;;;14;75;;16.36;44.59;0.0;0.0;0.0;6.12;;0.3;53.76;;;
2;2020-05-01 07:05:00;2020-05-01 07:11:00;;;188;61;;1.38;7.17;0.0;0.0;0.0;0.0;;0.3;7.47;;;
2;2020-05-01 07:05:00;2020-05-01 07:33:00;;;117;72;;13.34;35.43;0.0;0.0;2.75;2.29;;0.3;40.77;;;
1;2020-05-01 07:07:09;2020-05-01 07:20:08;N;1.0;250;174;1.0;0.0;23.2;0.0;0.5;0.0;0.0;;0.3;24.0;1.0;1.0;0.0
2;2020-05-01 07:08:00;2020-05-01 07:39:00;;;89;42;;16.43;44.79;0.0;0.0;0.0;6.12;;0.3;53.96;;;
1;2020-05-01 07:08:33;2020-05-01 07:31:00;N;1.0;152;211;1.0;8.4;26.5;2.75;0.5;0.0;0.0;;0.3;30.05;2.0;1.0;2.75
2;2020-05-01 07:09:00;2020-05-01 07:22:00;;;185;174;;3.48;12.77;0.0;0.0;0.0;0.0;;0.3;13.07;;;
2;2020-05-01 07:09:00;2020-05-01 07:28:00;;;25;188;;3.96;14.33;0.0;0.0;0.0;0.0;;0.3;14.63;;;
2;2020-05-01 07:09:16;2020-05-01 07:57:39;N;1.0;254;227;1.0;26.87;72.0;0.0;0.5;2.75;0.0;;0.3;75.55;1.0;1.0;0.0
2;2020-05-01 07:10:00;2020-05-01 07:32:00;;;168;254;;7.18;22.88;0.0;0.0;2.75;6.12;;0.3;32.05;;;
2;2020-05-01 07:10:00;2020-05-01 07:21:00;;;174;247;;3.92;21.79;0.0;0.0;0.0;0.0;;0.3;22.09;;;
2;2020-05-01 07:10:53;2020-05-01 07:21:35;N;1.0;243;50;1.0;6.71;19.5;0.0;0.5;4.61;0.0;;0.3;27.66;1.0;1.0;2.75
2;2020-05-01 07:12:00;2020-05-01 07:39:00;;;205;75;;16.4;45.39;0.0;0.0;0.0;6.12;;0.3;51.81;;;
